22,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Corn Area Planted and Harvested, Yield, Production, Utilization, Price, and Value –"
22,"t","United States: 1866-2021"
22,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
22,"h","","","","","","","","","","","",""
22,"h","","Acreage for","Acreage for","","","","","","","","",""
22,"h","","all purposes","all purposes","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for grain 1/","Harvested for silage","Harvested for silage","Harvested for silage","Forge"
22,"h","Year","","","","","","","","","","","grazed"
22,"h","","","","","Yield","","Price per","Value of","","Yield","","hogged"
22,"h","","Planted","Hv","Acres","per acre","Production","bushel 2/","production","Acres","per acre","Production",""
22,"h","","","","","","","","","","","",""
22,"u","","(1,000 ac)","(1,000 ac)","(1,000 ac)","(bu)","(1,000 bu)","(dollars)","(1,000 dollars)","(1,000 ac)","(tons)","(1,000 tons)","(1,000 ac)"
22,"d","1866",,,30017,24.3,730814,0.657,,,,,
22,"d","1867",,,32116,24.7,793905,0.781,,,,,
22,"d","1868",,,35116,26.2,919590,0.617,,,,,
22,"d","1869",,,35833,21.8,782084,0.725,,,,,
22,"d","",,,,,,,,,,,
22,"d","1870",,,38388,29.3,1124775,0.521,,,,,
22,"d","1871",,,42002,27.2,1141715,0.464,,,,,
22,"d","1872",,,43584,29.4,1279369,0.383,,,,,
22,"d","1873",,,44084,22.9,1008326,0.483,,,,,
22,"d","1874",,,47640,22.2,1058778,0.641,,,,,
22,"d","1875",,,52446,27.7,1450276,0.419,,,,,
22,"d","1876",,,55277,26.7,1478173,0.361,,,,,
22,"d","1877",,,58799,25.8,1515862,0.357,,,,,
22,"d","1878",,,59659,26.2,1564537,0.313,,,,,
22,"d","1879",,,62229,28.2,1751984,0.364,,,,,
22,"d","",,,,,,,,,,,
22,"d","1880",,,62545,27.3,1706673,0.390,,,,,
22,"d","1881",,,63026,19.8,1244803,0.628,,,,,
22,"d","1882",,,66157,26.5,1755272,0.481,,,,,
22,"d","1883",,,68168,24.2,1652148,0.418,,,,,
22,"d","1884",,,68834,28.3,1947838,0.349,,,,,
22,"d","1885",,,71854,28.6,2057807,0.322,,,,,
22,"d","1886",,,73911,24.1,1782767,0.357,,,,,
22,"d","1887",,,73296,21.9,1604549,0.434,,,,,
22,"d","1888",,,77474,29.1,2250632,0.331,,,,,
22,"d","1889",,,77656,29.5,2294289,0.275,,,,,
22,"d","",,,,,,,,,,,
22,"d","1890",,,74785,22.1,1650446,0.496,,,,,
22,"d","1891",,,78855,29.6,2335804,0.398,,,,,
22,"d","1892",,,76914,24.7,1897412,0.393,,,,,
22,"d","1893",,,79832,23.8,1900401,0.361,,,,,
22,"d","1894",,,80069,20.2,1615016,0.451,,,,,
22,"d","1895",,,90479,28.0,2534762,0.252,,,,,
22,"d","1896",,,89074,30.0,2671048,0.214,,,,,
22,"d","1897",,,89965,25.4,2287628,0.260,,,,,
22,"d","1898",,,87784,26.8,2351323,0.285,,,,,
22,"d","1899",,,94591,28.0,2645796,0.298,,,,,
22,"d","",,,,,,,,,,,
22,"d","1900",,,94852,28.1,2661978,0.350,,,,,
22,"d","1901",,,94422,18.2,1715752,0.600,,,,,
22,"d","1902",,,97177,28.5,2773954,0.401,,,,,
22,"d","1903",,,93555,26.9,2515093,0.419,,,,,
22,"d","1904",,,95228,28.2,2686624,0.436,,,,,
22,"d","1905",,,95746,30.9,2954148,0.406,,,,,
22,"d","1906",,,95624,31.7,3032910,0.391,,,,,
22,"d","1907",,,96094,27.2,2613797,0.505,,,,,
22,"d","1908",,,95285,26.9,2566742,0.650,,,,,
22,"d","1909","","",100200,26.1,2611157,0.576
22,"c",""
22,"c","See footnote(s) at end of table.","--continued"
